Date,Day,RouteId,Line,From,To,Slot,BusMin,WalkingFallbackMin,CarMin,ScrapedDetails,HasScreenshot,ScreenshotPath
2026-09-14,Mon,MC-20,Purple,"Behala Chowrasta","Majerhat",1:00 PM,12,51,12," | 51 min | 3.7 km | via NH 12",true,"D:\Traffic\Metro\output\screenshots\2026-09-14\1_00_PM\MC-20\metro.jpg"
2026-09-14,Mon,MC-21,Purple,"Joka","Behala Chowrasta",1:00 PM,14,57,12," | 57 min | 4.1 km | via NH 12 | Details | Preview",true,"D:\Traffic\Metro\output\screenshots\2026-09-14\1_00_PM\MC-21\metro.jpg"
2026-09-14,Mon,MC-23,Purple,"Behala Chowrasta","Taratala",12:00 AM,8,33,5," | 33 min | 2.4 km | via NH 12 | Details | Preview",true,"D:\Traffic\Metro\output\screenshots\2026-09-14\12_00_AM\MC-23\metro.jpg"
2026-09-14,Mon,MC-23,Purple,"Behala Chowrasta","Taratala",1:00 PM,8,33,9," | 33 min | 2.4 km | via NH 12 | Details | Preview",true,"D:\Traffic\Metro\output\screenshots\2026-09-14\1_00_PM\MC-23\metro.jpg"
2026-09-14,Mon,MC-24,Purple,"Taratala","Majerhat",12:00 AM,4,18,3," | 18 min | 1.3 km | via NH 12 | Details | Preview",true,"D:\Traffic\Metro\output\screenshots\2026-09-14\12_00_AM\MC-24\metro.jpg"
2026-09-14,Mon,MC-24,Purple,"Taratala","Majerhat",1:00 PM,4,18,3," | 18 min | 1.3 km | via NH 12 | Details | Preview",true,"D:\Traffic\Metro\output\screenshots\2026-09-14\1_00_PM\MC-24\metro.jpg"
2026-09-14,Mon,MC-25,Yellow,"Dum Dum Cantonment","Biman Bandar",1:00 PM,36,49,14," | 49 min | 3.5 km | via PK Guha Rd",true,"D:\Traffic\Metro\output\screenshots\2026-09-14\1_00_PM\MC-25\metro.jpg"
2026-09-15,Tue,MC-03,Blue,"Dum Dum","Shyambazar",1:00 PM,35,53,18," | 53 min | 3.8 km | via Belgachia Rd/Khudiram Bose Sarani",true,"D:\Traffic\Metro\output\screenshots\2026-09-15\1_00_PM\MC-03\metro.jpg"
2026-09-15,Tue,MC-06,Blue,"Dakshineswar","Dum Dum",1:00 PM,76,126,31," | 2 hr 6 min | 1:18 AM—3:24 AM | 13174 - Sealdah Kanchanjungha Express  33811   | 1:21 AM from Dakshineswar 7 hr 11 min late |  8 min | Details",true,"D:\Traffic\Metro\output\screenshots\2026-09-15\1_00_PM\MC-06\metro.jpg"
2026-09-15,Tue,MC-20,Purple,"Behala Chowrasta","Majerhat",1:00 PM,12,51,12," | 51 min | 3.7 km | via NH 12",true,"D:\Traffic\Metro\output\screenshots\2026-09-15\1_00_PM\MC-20\metro.jpg"
2026-09-15,Tue,MC-21,Purple,"Joka","Behala Chowrasta",1:00 PM,14,57,13," | 57 min | 4.1 km | via NH 12 | Details | Preview",true,"D:\Traffic\Metro\output\screenshots\2026-09-15\1_00_PM\MC-21\metro.jpg"
2026-09-15,Tue,MC-23,Purple,"Behala Chowrasta","Taratala",1:00 PM,8,33,9," | 33 min | 2.4 km | via NH 12 | Details | Preview",true,"D:\Traffic\Metro\output\screenshots\2026-09-15\1_00_PM\MC-23\metro.jpg"
2026-09-15,Tue,MC-24,Purple,"Taratala","Majerhat",1:00 PM,4,18,3," | 18 min | 1.3 km | via NH 12 | Details | Preview",true,"D:\Traffic\Metro\output\screenshots\2026-09-15\1_00_PM\MC-24\metro.jpg"
2026-09-15,Tue,MC-25,Yellow,"Dum Dum Cantonment","Biman Bandar",1:00 PM,36,49,16," | 49 min | 3.5 km | via PK Guha Rd",true,"D:\Traffic\Metro\output\screenshots\2026-09-15\1_00_PM\MC-25\metro.jpg"
2026-09-16,Wed,MC-03,Blue,"Dum Dum","Shyambazar",12:00 AM,12,53,11," | 53 min | 3.8 km | via Belgachia Rd/Khudiram Bose Sarani",true,"D:\Traffic\Metro\output\screenshots\2026-09-16\12_00_AM\MC-03\metro.jpg"
2026-09-16,Wed,MC-03,Blue,"Dum Dum","Shyambazar",1:00 PM,35,53,17," | 53 min | 3.8 km | via Belgachia Rd/Khudiram Bose Sarani",true,"D:\Traffic\Metro\output\screenshots\2026-09-16\1_00_PM\MC-03\metro.jpg"
2026-09-16,Wed,MC-20,Purple,"Behala Chowrasta","Majerhat",1:00 PM,12,51,12," | 51 min | 3.7 km | via NH 12",true,"D:\Traffic\Metro\output\screenshots\2026-09-16\1_00_PM\MC-20\metro.jpg"
2026-09-16,Wed,MC-21,Purple,"Joka","Behala Chowrasta",1:00 PM,14,57,12," | 57 min | 4.1 km | via NH 12 | Details | Preview",true,"D:\Traffic\Metro\output\screenshots\2026-09-16\1_00_PM\MC-21\metro.jpg"
2026-09-16,Wed,MC-23,Purple,"Behala Chowrasta","Taratala",1:00 PM,8,33,9," | 33 min | 2.4 km | via NH 12 | Details | Preview",true,"D:\Traffic\Metro\output\screenshots\2026-09-16\1_00_PM\MC-23\metro.jpg"
